trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
239,False,"{'a': 0.01, 'e': 0.09255057751034329}",25,0,10.479845579679989,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
240,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,0,8.156108061003904,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
241,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,10,18.007102716782995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08981529457224763}",20,9,-19.017290926479436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
243,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,12,11.401818193411417,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.08803683258237255}",25,18,0.826714346985558,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0871608514619813}",20,4,-12.676477986193476,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.01, 'e': 0.0862935864993705}",25,5,22.546555705035825,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,15,7.925036446717446,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08458485900156469}",30,15,22.17325658021518,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08374322559219596}",30,0,38.87224306416549,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.01, 'e': 0.08290996657517266}",30,14,-4.77790775290698,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.0820849986238988}",20,8,-30.04510240252043,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
